file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./ta-microservice/src/test/java/nl/tudelft/sem/tams/ta/profiles/MockTokenVerifierProfile.java,nl.tudelft.sem.tams.ta.profiles.MockTokenVerifierProfile,getMockTokenGenerator/0,false,24,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./hiring-microservice/src/main/java/nl/tudelft/sem/tams/hiring/interfaces/ContractInformation.java,nl.tudelft.sem.tams.hiring.interfaces.ContractInformation,createContract/1[nl.tudelft.sem.tams.hiring.services.communication.models.CreateContractRequestModel],false,8,1,9,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./hiring-microservice/src/main/java/nl/tudelft/sem/tams/hiring/interfaces/ContractInformation.java,nl.tudelft.sem.tams.hiring.interfaces.ContractInformation,getTaRatings/1[java.util.List<java.lang.String>],false,10,0,5,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./hiring-microservice/src/test/java/nl/tudelft/sem/tams/hiring/services/HiringServiceTest.java,nl.tudelft.sem.tams.hiring.services.HiringServiceTest$Anonymous1,(initializer 1),false,741,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/test/java/nl/tudelft/sem/tams/authentication/integration/UsersTests.java,nl.tudelft.sem.tams.authentication.integration.UsersTests,login_withNonexistentUsername_returns403/0,false,163,5,2,0,2,1,21,12,0,6,0,21,0,0,0,0,0,0,4,1,4,0,0,0,0,2,31,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/test/java/nl/tudelft/sem/tams/authentication/integration/UsersTests.java,nl.tudelft.sem.tams.authentication.integration.UsersTests,register_withValidData_worksCorrectly/0,false,59,5,2,0,2,1,19,14,0,6,0,19,0,0,0,0,0,0,4,0,6,0,0,0,0,0,26,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/test/java/nl/tudelft/sem/tams/authentication/integration/UsersTests.java,nl.tudelft.sem.tams.authentication.integration.UsersTests,register_withExistingUser_throwsException/0,false,85,5,3,0,3,1,18,17,0,7,0,18,0,0,0,0,0,0,4,0,7,0,0,0,0,0,25,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/test/java/nl/tudelft/sem/tams/authentication/integration/UsersTests.java,nl.tudelft.sem.tams.authentication.integration.UsersTests,login_withInvalidPassword_returns403/0,false,193,6,3,0,3,1,25,19,0,9,0,25,0,0,0,0,0,0,6,1,7,0,0,0,0,2,33,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/test/java/nl/tudelft/sem/tams/authentication/integration/UsersTests.java,nl.tudelft.sem.tams.authentication.integration.UsersTests,login_withValidUser_returnsToken/0,false,115,9,5,0,5,1,31,21,0,12,0,31,0,0,0,0,0,0,6,0,9,0,0,0,0,3,41,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./hiring-microservice/src/main/java/nl/tudelft/sem/tams/hiring/models/TeachingAssistantApplicationAcceptRequestModel.java,nl.tudelft.sem.tams.hiring.models.TeachingAssistantApplicationAcceptRequestModel,builder/0,false,16,1,11,10,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./ta-microservice/src/main/java/nl/tudelft/sem/tams/ta/security/AuthFilter.java,nl.tudelft.sem.tams.ta.security.AuthFilter,"doFilterInternal/3[nl.tudelft.sem.tams.ta.security.HttpServletRequest,nl.tudelft.sem.tams.ta.security.HttpServletResponse,nl.tudelft.sem.tams.ta.security.FilterChain]",false,29,6,8,6,2,6,13,21,0,4,3,13,0,0,0,1,1,0,3,0,4,0,3,0,0,0,44,4,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./ta-microservice/src/main/java/nl/tudelft/sem/tams/ta/security/AuthFilter.java,nl.tudelft.sem.tams.ta.security.AuthFilter,AuthFilter/1[nl.tudelft.sem.tams.ta.security.TokenVerifier],true,23,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/main/java/nl/tudelft/sem/tams/authentication/config/WebSecurityConfig.java,nl.tudelft.sem.tams.authentication.config.WebSecurityConfig,configure/1[nl.tudelft.sem.tams.authentication.config.AuthenticationManagerBuilder],false,43,2,1,0,1,1,3,3,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
/home/martin/Documents/uni/Y2Q2/SEM/aaa/sem-repo-13b/./authentication-microservice/src/main/java/nl/tudelft/sem/tams/authentication/config/WebSecurityConfig.java,nl.tudelft.sem.tams.authentication.config.WebSecurityConfig,authenticationManagerBean/0,false,38,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
